AC_REG,Year,Quarter,Month,Day,ENTRY_DATE,Year,Quarter,Month,Day,FLT_NO,Year,Quarter,Month,Day,IN_HRS,IN_MNT,LNDGS,Year,Quarter,Month,Day,OFF_HRS,OFF_MNT,Year,Quarter,Month,Day,ON_HRS,ON_MNT,OPS_CODE,OPS_DATE,Year,Quarter,Month,Day,OUT_HRS,OUT_MNT,STN_FROM,STN_TO,TYPE_CODE,USER_ID
ATU,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,682,1899,Qtr 4,December,31,3,55,1,1899,Qtr 4,December,31,3,20,1899,Qtr 4,December,31,3,45,REV,20020106,1899,Qtr 4,December,31,3,15,ISB,PEW,D,DL05
ATU,1899,Qtr 4,December,31,40040219,1899,Qtr 4,December,31,682,1899,Qtr 4,December,31,8,0,2,1899,Qtr 4,December,31,6,53,1899,Qtr 4,December,31,6,111,REV,40040219,1899,Qtr 4,December,31,6,30,ISB,PEW,D,DL26
ATU,1899,Qtr 4,December,31,20020105,1899,Qtr 4,December,31,682,1899,Qtr 4,December,31,4,20,1,1899,Qtr 4,December,31,3,25,1899,Qtr 4,December,31,4,15,REV,20020103,1899,Qtr 4,December,31,3,15,ISB,PEW,D,DL28
ATU,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,682,1899,Qtr 4,December,31,4,0,1,1899,Qtr 4,December,31,3,25,1899,Qtr 4,December,31,3,55,REV,20020111,1899,Qtr 4,December,31,3,15,ISB,PEW,D,DL29
ATU,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,683,1899,Qtr 4,December,31,16,40,1,1899,Qtr 4,December,31,16,2,1899,Qtr 4,December,31,16,29,REV,20020106,1899,Qtr 4,December,31,15,55,PEW,ISB,D,DL05
ATU,1899,Qtr 4,December,31,40040219,1899,Qtr 4,December,31,683,1899,Qtr 4,December,31,32,74,2,1899,Qtr 4,December,31,31,60,1899,Qtr 4,December,31,32,67,REV,40040219,1899,Qtr 4,December,31,31,50,PEW,ISB,D,DL26
ATU,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,685,1899,Qtr 4,December,31,10,35,1,1899,Qtr 4,December,31,9,54,1899,Qtr 4,December,31,10,30,REV,20020111,1899,Qtr 4,December,31,9,48,PEW,ISB,D,DL29
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,356,1899,Qtr 4,December,31,9,9,1,1899,Qtr 4,December,31,8,18,1899,Qtr 4,December,31,9,5,REV,20020104,1899,Qtr 4,December,31,8,5,LHE,ISB,D,DL28
AUR,1899,Qtr 4,December,31,40040212,1899,Qtr 4,December,31,603,1899,Qtr 4,December,31,13,52,2,1899,Qtr 4,December,31,11,54,1899,Qtr 4,December,31,12,101,REV,40040212,1899,Qtr 4,December,31,10,95,ISB,LHE,D,DL26
AUR,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,603,1899,Qtr 4,December,31,7,10,1,1899,Qtr 4,December,31,6,12,1899,Qtr 4,December,31,7,5,REV,20020111,1899,Qtr 4,December,31,5,49,ISB,LHE,D,DL29
AUR,1899,Qtr 4,December,31,40040212,1899,Qtr 4,December,31,603,1899,Qtr 4,December,31,17,64,2,1899,Qtr 4,December,31,15,46,1899,Qtr 4,December,31,17,55,REV,40040212,1899,Qtr 4,December,31,14,80,LHE,BHV,D,DL26
AUR,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,603,1899,Qtr 4,December,31,8,59,1,1899,Qtr 4,December,31,7,50,1899,Qtr 4,December,31,8,55,REV,20020111,1899,Qtr 4,December,31,7,35,LHE,BHV,D,DL29
AUR,1899,Qtr 4,December,31,40040212,1899,Qtr 4,December,31,604,1899,Qtr 4,December,31,20,68,2,1899,Qtr 4,December,31,18,54,1899,Qtr 4,December,31,20,57,REV,40040212,1899,Qtr 4,December,31,18,43,BHV,LHE,D,DL26
AUR,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,604,1899,Qtr 4,December,31,10,35,1,1899,Qtr 4,December,31,9,30,1899,Qtr 4,December,31,10,30,REV,20020111,1899,Qtr 4,December,31,9,20,BHV,LHE,D,DL29
AUR,1899,Qtr 4,December,31,40040212,1899,Qtr 4,December,31,604,1899,Qtr 4,December,31,23,71,2,1899,Qtr 4,December,31,22,24,1899,Qtr 4,December,31,23,61,REV,40040212,1899,Qtr 4,December,31,21,61,LHE,ISB,D,DL26
